Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
XLIII,2016,"THE MATERNITY BENEFIT (AMENDMENT) BILL, 2017",Ordinary Bill,LABOUR AND EMPLOYMENT,6 of 2017,11/8/2016,11/8/2017,9/3/2017,27/3/2017,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/maternity-int 11 8 16.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/maternity-6 of 17.pdf,NA
XVII,2016,"THE SIKH GURDWARAS (AMENDMENT) BILL, 2016",Ordinary Bill,HOME AFFAIRS,21 of 2016,15/3/2016,16/3/2016,25/4/2016,5/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/sikh 238E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XVII-F_2016_RS_Eng.pdf,NA
LXIII,2015,"THE DR. RAJENDRA PRASAD CENTRAL AGRICULTURAL UNIVERSITY BILL, 2016",Ordinary Bill,AGRICULTURE,32 of 2016,23/12/2015,11/5/2016,11/5/2016,28/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/rajndr univ-int-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LXIII-F_2015_LS_Eng.pdf,NA
XXX,2015,"THE HOMOEOPATHY CENTRAL COUNCIL ( AMENDMENT) BILL, 2015",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,6/5/2015,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/hompath-int -E.pdf,NA,NA
XXV,2015,"THE COMMERCIAL COURTS, COMMERCIAL DIVISION AND COMMERCIAL APPELLATE DIVISION OF HIGH COURTS BILL, 2015",Ordinary Bill,LAW AND JUSTICE,NA,29/4/2015,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Com HC-E.pdf,NA,NA
LIII,2014,"THE ANTI-HIJACKING BILL, 2016",Ordinary Bill,CIVIL AVIATION,30 of 2016,17/12/2014,4/5/2016,9/5/2016,13/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/anti hjk-E- int.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIII-F_2014_RS_Eng.pdf,NA
LIII,2014,"THE ANTI-HIJACKING BILL, 2016",Ordinary Bill,CIVIL AVIATION,30 of 2016,17/12/2014,4/5/2016,9/5/2016,13/5/2016,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/anti hjk-E- int.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIII-F_2014_RS_Eng.pdf,NA
X,2014,"THE FOOD SAFETY AND STANDARDS (AMENDMENT ) BILL, 2014",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,19/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Food-E.pdf,NA,NA
VII,2014,"THE TRIBUNALS, APPELLATE TRIBUNALS AND OTHER AUTHORITIES (CONDITIONS OF SERVICE) BILL, 2014",Ordinary Bill,LAW AND JUSTICE,NA,19/2/2014,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Tribnul-E.pdf,NA,NA
VIII,2014,"THE WAQF PROPERTIES (EVICTION OF UNAUTHORISED OCCUPANTS), BILL, 2014",Ordinary Bill,MINORITY AFFAIRS,NA,18/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Wakf-E.pdf,NA,NA
IX,2014,"THE DELHI HOTELS (CONTROL OF ACCOMMODATION) REPEAL BILL, 2014",Ordinary Bill,URBAN DEVELOPMENT,NA,18/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Del hotel-E.pdf,NA,NA
VI,2014,"THE DELHI HIGH COURT (AMENDMENT) BILL, 2015",Ordinary Bill,LAW AND JUSTICE,23 of 2015,17/2/2014,6/5/2015,5/8/2015,10/8/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Del high court-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/VI_F_2014_RS.pdf,NA
IV,2014,"THE CONSTITUTION (SCHEDULED CASTES) ORDERS (AMENDMENT) BILL, 2015",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,4 of 2015,11/2/2014,24/2/2015,17/3/2015,20/3/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/IV2014RS.pdf,NA,NA
III,2014,"THE HUMAN IMMUNODEFICIENCY VIRUS AND ACQUIRED IMMUNE DEFICIENCY SYNDROME (PREVENTION AND CONTROL) BILL, 2017",Ordinary Bill,HEALTH AND FAMILY WELFARE,16 of 2017,11/2/2014,21/3/2017,11/4/2017,20/4/2017,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/III2014ERS.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/III-F_2014_RS_Eng.pdf,NA
I,2014,"THE RIGHTS OF PERSONS WITH DISABILITIES BILL, 2016",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,49 of 2016,7/2/2014,14/12/2016,16/12/2016,27/12/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/I2014RS.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/IF_2014_RS.pdf,NA
XV,2013,"THE CONSTITUTION ( ONE HUNDRED AND NINETEENTH AMENDMENT) BILL, 2013",Ordinary Bill,EXTERNAL AFFAIRS,NA,18/12/2013,6/5/2015,7/5/2015,28/5/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/119-E.pdf,NA,NA
LXVI,2013,"THE ASSAM LEGISLATIVE COUNCIL BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,10/12/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Assam As-E.pdf,NA,NA
LXVII,2013,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED CASTES AND SCHEDULED TRIBES IN PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES (THIRD) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,10/12/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/read third-E.pdf,NA,NA
LXII,2013,"THE REPRESENTATION OF THE PEOPLE (SECOND AMENDMENT AND VALIDATION) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,30/8/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RP-2-EI.pdf,NA,NA
LXI,2013,"THE JUDICIAL APPOINTMENTS COMMISSION BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,29/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Judcial-EI.pdf,NA,NA
LX,2013,"THE CONSTITUTION (ONE HUNDRED AND TWENTIETH AMENDMENT) BILL, 2013",Constitutional Amendment Bill,LAW AND JUSTICE,NA,29/8/2013,NA,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/120-EI.pdf,NA,NA
LIX,2013,"THE DELHI RENT (REPEAL) BILL, 2013",Ordinary Bill,URBAN DEVELOPMENT,NA,29/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/delhirent-EI.pdf,NA,NA
LVIII,2013,"THE DRUGS AND COSMETICS (AMENDMENT) BILL, 2013",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,29/8/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/drg cos-EI.pdf,NA,NA
LVI,2013,"THE NALANDA UNIVERSITY (AMENDMENT) BILL, 2013",Ordinary Bill,EXTERNAL AFFAIRS,NA,26/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/nalnda-E I.pdf,NA,NA
LVII,2013,"THE REPRESENTATION OF THE PEOPLE (AMENDMENT AND VALIDATION) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,29 of 2013,26/8/2013,27/8/2013,6/9/2013,20/9/2013,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RP AV-EI.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LVIIF_2013_LS_Eng.pdf,NA
LIII,2013,"THE PREVENTION OF CORRUPTION (AMENDMENT) BILL, 2013",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,19/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/corption-E I.pdf,NA,NA
LII,2013,"THE INDIAN MEDICAL COUNCIL (AMENDMENT) BILL, 2013",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,19/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/IMC-E I.pdf,NA,NA
LIV,2013,"THE MENTAL HEALTHCARE BILL, 2017",Ordinary Bill,HEALTH AND FAMILY WELFARE,10 of 2017,19/8/2013,8/8/2016,27/3/2017,7/4/2017,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Mentlcare-E I.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/mental-10 of 17.pdf,NA
XLIX,2013,"THE MERCHANT SHIPPING (SECOND AMENDMENT) BILL, 2014",Ordinary Bill,SHIPPING,32 of 2014,19/8/2013,1/12/2014,2/12/2014,9/12/2014,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/merchnt-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLIXF_2013_LS_ENG.pdf,NA
XLVI,2013,"THE REAL ESTATE (REGULATION AND DEVELOPMENT) BILL, 2016",Ordinary Bill,HOUSING AND URBAN POVERTY ALLEVIATION,16 of 2016,14/8/2013,10/3/2016,15/3/2016,25/3/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/real estate-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVI_2013_RS_eng.pdf,NA
XLVII,2013,"THE REGISTRATION (AMENDMENT) BILL, 2013",Ordinary Bill,RURAL DEVELOPMENT,NA,8/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Regn amd-E.pdf,NA,NA
XLVIII,2013,"THE PARLIAMENT (PREVENTION OF DISQUALIFICATION) AMENDMENT BILL, 2013",Ordinary Bill,LAW AND JUSTICE,28 of 2013,8/8/2013,22/8/2013,6/9/2013,20/9/2013,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/parl disqual-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVIIIF_2013_LS_Eng.pdf,NA
XLVIII,2013,"THE PARLIAMENT (PREVENTION OF DISQUALIFICATION) AMENDMENT BILL, 2013",Ordinary Bill,LAW AND JUSTICE,28 of 2013,8/8/2013,22/8/2013,6/9/2013,20/9/2013,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/parl disqual-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVIIIF_2013_LS_Eng.pdf,NA
XLV,2013,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED CASTES AND SCHEDULED TRIBES IN PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES (SECOND) BILL, 2013",Ordinance Replacing Bill,LAW AND JUSTICE,NA,7/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/readjst secnd-E.pdf,NA,NA
XLIV,2013,"THE RAJASTHAN LEGISLATIVE COUNCIL BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,6/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/rajstan-E.pdf,NA,NA
XXXI,2013,"THE WILD LIFE (PROTECTION) AMENDMENT BILL, 2013",Ordinary Bill,ENVIRONMENT AND FORESTS,NA,5/8/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/wildlife-E.pdf,NA,NA
XXVII,2013,"THE EMPLOYMENT EXCHANGES (COMPULSORY NOTIFICATION OF VACANCIES) AMENDMENT BILL, 2013",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,22/4/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/emp-E.pdf,NA,NA
XXIII,2013,"THE NATIONAL WATERWAY (LAKHIPUR-BHANGA STRETCH OF THE BARAK RIVER) BILL, 2013",Ordinary Bill,SHIPPING,NA,22/3/2013,14/8/2013,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/nationl wtrway-E.pdf,NA,NA
XXII,2013,"THE INDIAN MEDICAL COUNCIL (AMENDMENT) BILL, 2013",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,19/3/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/IMC13- E.pdf,NA,NA
XIX,2013,"THE BUILDING AND OTHER CONSTRUCTION WORKERS RELATED LAWS (AMENDMENT) BILL, 2013",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,18/3/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Bldng-E.pdf,NA,NA
XXI,2013,"THE MERCHANT SHIPPING (AMENDMENT) BILL, 2014",Ordinary Bill,SHIPPING,31 of 2014,18/3/2013,1/12/2014,2/12/2014,9/12/2014,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/merchant shp-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXIF_2013_LS_ENG.pdf,NA
XVI,2013,"THE NATIONAL INSTITUTE OF DESIGN BILL, 2014",Ordinary Bill,COMMERCE AND INDUSTRY,18 of 2014,11/3/2013,7/7/2014,9/7/2014,17/7/2014,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/NIdesign-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XVI_F_2013.pdf,NA
XVI,2013,"THE NATIONAL INSTITUTE OF DESIGN BILL, 2014",Ordinary Bill,COMMERCE AND INDUSTRY,18 of 2014,11/3/2013,7/7/2014,9/7/2014,17/7/2014,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/NIdesign-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XVI_F_2013.pdf,NA
XVII,2013,"THE NORTH-EASTERN COUNCIL (AMENDMENT) BILL, 2013",Ordinary Bill,HOME AFFAIRS,NA,11/3/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Norheast-E.pdf,NA,NA
XII,2013,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED CASTES AND SCHEDULED TRIBES IN PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,26/2/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/readjust-E.pdf,NA,NA
XI,2013,"THE SECURITIES AND EXCHANGE BOARD OF INDIA (AMENDMENT) BILL, 2013",Ordinary Bill,FINANCE,NA,26/2/2013,11/3/2013,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/SEBI-E.pdf,NA,NA
LXX,2012,"THE INDECENT REPRESENTATION OF WOMEN (PROHIBITION) AMENDMENT BILL, 2012",Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,NA,13/12/2012,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/ind rep womn-E.pdf,NA,NA
LXIII,2012,"THE CHILD LABOUR (PROHIBITION AND REGULATION) AMENDMENT BILL, 2016",Ordinary Bill,LABOUR AND EMPLOYMENT,35 of 2016,4/12/2012,19/7/2016,26/7/2016,29/7/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/chld lbr-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LXIII_f_ls_2012.pdf,NA
XLVIII,2012,"THE CONSTITUTION (ONE HUNDRED SEVENTEENTH AMENDMENT) BILL, 2012",Constitutional Amendment Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,5/9/2012,NA,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/cons 117-E.pdf,NA,NA
XXXII,2012,"THE ARMED FORCES TRIBUNAL (AMENDMENT) BILL, 2012",Ordinary Bill,DEFENCE,NA,13/8/2012,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/armed forc-E.pdf,NA,NA
X,2012,"THE RANI LAKSHMI BAI CENTRAL AGRICULTURAL UNIVERSITY BILL, 2014",Ordinary Bill,AGRICULTURE,10 of 2014,22/5/2012,19/2/2014,20/2/2014,4/3/2014,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Rani -E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XF_2012_RS_Eng.pdf,NA
X,2012,"THE RANI LAKSHMI BAI CENTRAL AGRICULTURAL UNIVERSITY BILL, 2014",Ordinary Bill,AGRICULTURE,10 of 2014,22/5/2012,19/2/2014,20/2/2014,4/3/2014,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Rani -E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XF_2012_RS_Eng.pdf,NA
XXII,2012,"THE REGISTRATION OF BIRTHS AND DEATHS (AMENDMENT) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,7/5/2012,13/8/2013,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/regisrter-E.pdf,NA,NA
XXIII,2012,"THE ANAND MARRIAGE (AMENDMENT) BILL, 2012",Ordinary Bill,LAW AND JUSTICE,29 of 2012,7/5/2012,21/5/2012,22/5/2012,7/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Anand-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXIIIF_2012_LS.pdf,NA
XXI,2012,"THE TAMIL NADU LEGISLATIVE COUNCIL (REPEAL) BILL, 2012",Ordinary Bill,LAW AND JUSTICE,NA,4/5/2012,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/TNL R-E.pdf,NA,NA
IX,2012,"THE INDIAN FOREST (AMENDMENT) BILL, 2012",Ordinary Bill,ENVIRONMENT AND FORESTS,NA,26/3/2012,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/indian forest.pdf,NA,NA
LX,2011,"THE HIGHER EDUCATION AND RESEARCH BILL, 2011",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,28/12/2011,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/high edu.pdf,NA,NA
LIX,2011,"THE NATIONAL COMMISSION FOR HUMAN RESOURCES FOR HEALTH BILL, 2011",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,22/12/2011,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/nationl com humn.pdf,NA,NA
XLVIII,2011,"THE CITIZENSHIP (AMENDMENT) BILL, 2013",Ordinary Bill,HOME AFFAIRS,NA,8/12/2011,13/8/2013,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/citznshp.pdf,NA,NA
XXXIV,2011,"THE INTER-STATE MIGRANT WORKMEN (REGULATION OF EMPLOYMENT AND CONDITIONS OF SERVICE) AMENDMENT BILL, 2011",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,18/8/2011,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/interstate.pdf,NA,NA
XXXII,2011,"THE ADMINISTRATORS-GENERAL (AMENDMENT) BILL, 2012",Ordinary Bill,LAW AND JUSTICE,33 of 2012,18/8/2011,4/5/2012,17/5/2012,19/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/AG.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXXIIF_2011_LS.pdf,NA
XXXV,2011,"THE BORDER SECURITY FORCE (AMENDMENT) BILL, 2011",Ordinary Bill,HOME AFFAIRS,NA,18/8/2011,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/BSF.pdf,NA,NA
XIV,2011,"THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCES BILL, 2012",Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,32 of 2012,23/3/2011,10/5/2012,22/5/2012,19/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/protection children.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XIVF_2011_LS.pdf,NA
X,2011,"THE MINES (AMENDMENT) BILL, 2011",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,23/3/2011,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/mines.pdf,NA,NA
IX,2011,"THE LABOUR LAWS (EXEMPTION FROM FURNISHING RETURNS AND MAINTAINING REGISTERS BY CERTAIN ESTABLISHMENTS) AMENDMENT BILL, 2011",Ordinary Bill,LABOUR AND EMPLOYMENT,33 of 2014,23/3/2011,25/11/2014,28/11/2014,10/12/2014,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Labur law11.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/IXF_2011_LS_ENG.pdf,NA
XCI,2010,"THE NATIONAL INSTITUTE OF MENTAL HEALTH AND NEURO-SCIENCES, BANGALORE BILL, 2012",Ordinary Bill,HEALTH AND FAMILY WELFARE,38 of 2012,7/12/2010,13/8/2012,4/9/2012,13/9/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/mental helth.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XCI_F_2010_LS.pdf,NA
LXXV,2010,"THE NATIONAL IDENTIFICATION AUTHORITY OF INDIA BILL, 2010",Ordinary Bill,PLANNING,NA,3/12/2010,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/national ident.pdf,NA,NA
LXXIII,2010,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) AMENDMENT BILL, 2011",Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,12 of 2011,16/11/2010,19/8/2011,29/8/2011,7/9/2011,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/juvenile.pdf,NA,NA
LXIII,2010,"THE PRASAR BHARATI (BROADCASTING CORPORATION OF INDIA) AMENDMENT BILL, 2011",Ordinary Bill,INFORMATION AND BROADCASTING,6 of 2012,31/8/2010,8/12/2011,20/12/2011,8/1/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/prasr bharti.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/3797LS[1].pdf,NA
LXIV,2010,"THE ARCHITECTS (AMENDMENT) BILL, 2010",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,31/8/2010,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/archtct.pdf,NA,NA
LVIII,2010,"THE REPRESENTATION OF THE PEOPLE (AMENDMENT) BILL, 2010",Ordinary Bill,LAW AND JUSTICE,NA,21/8/2010,30/8/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/R P.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LVIII-F, Representation of People.pdf",NA
LVII,2010,"THE ANTI-HIJACKING (AMENDMENT) BILL, 2010",Ordinary Bill,CIVIL AVIATION,NA,19/8/2010,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/anti hijak.pdf,NA,NA
XLIX,2010,"THE NALANDA UNIVERSITY BILL, 2010",Ordinary Bill,EXTERNAL AFFAIRS,NA,12/8/2010,21/8/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/nalnda univ.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLIX-F, Nalanda.pdf",NA
XLIII,2010,"THE CENTRAL EDUCATIONAL INSTITUTIONS (RESERVATION IN ADMISSION) AMENDMENT BILL, 2012",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,31 of 2012,6/8/2010,27/4/2012,16/5/2012,19/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/centrl edu inst.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLIIIF_2010_LS.pdf,NA
XLII,2010,"THE JAWAHARLAL INSTITUTE OF POST-GRADUATE MEDICAL EDUCATION AND RESEARCH, PUDUCHERRY (AMENDMENT) BILL, 2011",Ordinary Bill,HEALTH AND FAMILY WELFARE,10 of 2011,5/8/2010,3/8/2011,18/8/2011,27/8/2011,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/JIPMR.pdf,NA,NA
XLI,2010,"THE MARRIAGE LAWS (AMENDMENT) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,4/8/2010,26/8/2013,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/marrge law as intro.pdf,NA,NA
XXIX,2010,"THE INDIAN MEDICINE CENTRAL COUNCIL (AMENDMENT) BILL, 2010",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,6/5/2010,25/8/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/ind medi tobe-E.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXIX-F, Indian Medicine Central Council.pdf",NA
XXX,2010,"THE TAMIL NADU LEGISLATIVE COUNCIL BILL, 2010",Ordinary Bill,LAW AND JUSTICE,NA,5/5/2010,5/5/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/tamilnadu.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Tamil Nadu (xxx F of 2010).pdf,NA
XXVII,2010,"THE COMPANY SECRETARIES (AMENDMENT) BILL, 2011",Ordinary Bill,CORPORATE AFFAIRS,4 of 2012,28/4/2010,12/12/2011,19/12/2011,8/1/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/comp. secy- To be-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/3799LS[1].pdf,NA
XXVIII,2010,"THE CHARTERED ACCOUNTANTS (AMENDMENT) BILL, 2011",Ordinary Bill,CORPORATE AFFAIRS,3 of 2012,28/4/2010,12/12/2011,19/12/2011,8/1/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/CA-Tobe-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/3800LS[1].pdf,NA
